iter	Passed	Remaining
0	137	13632
1	140	6867
2	142	4610
3	145	3480
4	147	2800
5	150	2353
6	154	2049
7	156	1804
8	159	1611
9	163	1467
10	165	1339
11	168	1232
12	170	1140
13	172	1061
14	175	992
15	177	934
16	180	880
17	182	832
18	185	788
19	187	749
20	189	714
21	192	682
22	194	652
23	197	624
24	199	599
25	202	575
26	204	552
27	207	534
28	213	521
29	215	503
30	217	485
31	220	468
32	223	452
33	225	437
34	227	422
35	230	409
36	232	395
37	234	383
38	237	371
39	239	359
40	242	348
41	244	337
42	247	327
43	249	317
44	251	307
45	254	299
46	257	289
47	259	281
48	261	272
49	264	264
50	266	256
51	269	248
52	271	241
53	274	233
54	276	226
55	278	219
56	281	212
57	284	205
58	286	199
59	289	192
60	291	186
61	293	179
62	296	173
63	298	168
64	301	162
65	303	156
66	306	150
67	308	145
68	311	139
69	313	134
70	316	129
71	318	123
72	320	118
73	323	113
74	325	108
75	327	103
76	330	98
77	332	93
78	335	89
79	337	84
80	339	79
81	342	75
82	344	70
83	347	66
84	349	61
85	351	57
86	354	52
87	356	48
88	359	44
89	361	40
90	364	36
91	366	31
92	368	27
93	371	23
94	374	19
95	376	15
96	379	11
97	381	7
98	383	3
99	386	0
